dossierid,lat,lon,dist_m,value_schilling,in_kind_share,n_docs
HGB_1_151_010,47.555975,7.589278,164.72593383824378,4050.0,0.0,13
HGB_1_151_011,47.555967,7.58922,164.65403880325994,924.25,0.16666666666666666,3
HGB_1_151_012,47.555962,7.589189,164.74909801022585,3.0,0.03916666666666667,25
HGB_1_151_013,47.555957,7.589158,164.87968397499588,2.5,0.037037037037037035,22
HGB_1_151_014,47.556135,7.589785,161.2025936265952,614.0,0.0,10
HGB_1_151_016,47.556101,7.589614,159.12487221453944,25.0,0.02106918238993711,56
HGB_1_151_017,47.556083,7.589534,158.81034835976348,1065.0,0.0,23
HGB_1_151_018,47.556067,7.58946,158.5668737170363,1700.0,0.09210526315789473,25
HGB_1_151_019,47.556061,7.589426,158.398414339981,19.0,0.14583333333333331,4
HGB_1_151_020,47.55605,7.58939,158.85014107375432,260.0,0.056878306878306875,30
HGB_1_151_021,47.556037,7.589316,158.74063970235875,100.0,0.0,26
HGB_1_151_022,47.556025,7.589245,158.7377362897853,496.0,0.0,4
HGB_1_151_024,47.556021,7.589208,158.65361110494223,3200.0,0.0,11
HGB_1_151_025,47.556015,7.589172,158.7221337532696,100.0,0.041509433962264156,65
HGB_1_152_002,47.558133,7.582356,490.7488148581751,,,1
HGB_1_153_006,47.562666,7.593104,667.618043594763,80.0,0.0,5
HGB_1_153_007,47.562586,7.593088,659.326059643574,81.5,0.0,20
HGB_1_153_009,47.562599,7.592663,645.507510385462,48.0,0.04161616161616162,17
HGB_1_153_010,47.562618,7.592732,649.7498270780981,5000.0,0.0,2
HGB_1_153_012,47.562657,7.592885,658.8803596382372,83.0,0.0,22
HGB_1_153_014,47.562946,7.593132,695.9830869508306,39725.0,0.0,7
HGB_1_153_015,47.562838,7.593225,688.7828621693396,200.0,0.0,26
HGB_1_153_016,47.56273,7.593318,681.7890860972498,1600.0,0.0,41
HGB_1_153_017,47.562824,7.593433,695.1553569801182,1372.3333333333333,0.0,4
HGB_1_153_018,47.562834,7.593494,698.4062390251387,57.5,0.0,2
HGB_1_153_019,47.562844,7.593537,701.0543712644669,85.0,0.2342687074829932,34
HGB_1_153_020,47.562834,7.593494,698.4062390251387,2035.0,0.0,6
HGB_1_153_021,47.562835,7.593551,700.7334595672294,490.0,0.0,7
HGB_1_153_022,47.562864,7.593611,705.7892445641762,60.0,0.0,6
HGB_1_153_023,47.562759,7.593731,700.5533156324282,2100.0,0.0,6
HGB_1_153_025,47.562458,7.592889,639.5688668586334,1.5,0.0,10
HGB_1_153_026,47.562509,7.593081,651.5833396291354,34.5,0.0,15
HGB_1_153_027,47.562538,7.593159,657.2808122315771,49.0,0.00510204081632653,34
HGB_1_153_028,47.562566,7.593237,662.9968722771038,15.0,0.0,20
HGB_1_153_029,47.562602,7.593429,673.7479003310456,11.0,0.31976744186046513,55
HGB_1_153_030,47.562629,7.593596,682.8535829842197,80.0,0.0,5
HGB_1_153_031,47.562715,7.59372,696.0099951411438,10.0,0.0,37
HGB_1_153_032,47.562737,7.593732,698.5262883305245,,,1
HGB_1_153_033,47.562737,7.593732,698.5262883305245,40.0,0.0,1
HGB_1_153_034,47.562856,7.593726,709.51150302683,16.625,0.0,16
HGB_1_154_009,47.561107,7.593811,557.5821886739021,,,6
HGB_1_154_010,47.560087,7.594954,550.6429016793325,,,2
HGB_1_154_011,47.561026,7.593914,556.323421460998,80.0,0.06484375,88
HGB_1_154_013,47.561114,7.594049,570.4310212895568,4050.0,0.0,4
HGB_1_154_014,47.560948,7.594181,564.4644806859362,7700.0,0.0,8
HGB_1_154_015,47.56083,7.594314,562.7556322959329,4.5,0.03333333333333333,40
HGB_1_154_016,47.560757,7.594387,561.3812643255989,86.5,0.018518518518518517,39
HGB_1_154_017,47.560729,7.594431,561.8858138556778,,,6
HGB_1_154_018,47.560702,7.594476,562.4262789657294,250.0,0.0,19
HGB_1_154_019,47.560674,7.594507,562.2228681392287,60.0,0.09523809523809523,7
HGB_1_154_020,47.560647,7.594538,562.0458424864728,80.0,0.0,20
HGB_1_154_021,47.5606,7.594605,562.6833144859769,30.0,0.013605442176870748,61
HGB_1_154_022,47.560546,7.594661,562.2069647993999,220.0,0.041666666666666664,20
HGB_1_154_023,47.560493,7.594746,563.7117414865472,847.75,0.07291666666666666,22
HGB_1_154_024,47.56043,7.594837,564.9459657764642,2251.166666666667,0.0,18
HGB_1_154_025,47.560353,7.594933,565.8025475678814,125.0,0.0,34
HGB_1_154_026,47.560231,7.595119,569.7926861521846,7.5,0.07222222222222222,18
HGB_1_154_027,47.560292,7.595026,567.7178553604743,450.75,0.125,10
HGB_1_154_028,47.560292,7.595026,567.7178553604743,188.75,0.10714285714285714,12
HGB_1_154_029,47.560292,7.595026,567.7178553604743,40.0,0.19,5
HGB_1_154_030,47.560298,7.594996,566.2243775082122,6.0,0.125,22
HGB_1_154_031,47.560206,7.595145,569.8909936457947,459.0,0.08333333333333333,4
HGB_1_154_032,47.560206,7.595145,569.8909936457947,180.20833333333334,0.03333333333333333,8
HGB_1_154_033,47.560219,7.595132,569.8392971530753,71.0,0.0,4
HGB_1_154_034,47.560181,7.595171,570.0096374383771,683.25,0.041666666666666664,9
HGB_1_154_035,47.560151,7.595213,570.9364953680151,140.125,0.15515873015873016,21
HGB_1_154_036,47.560166,7.595192,570.4686406836192,1049.5,0.0,10
HGB_1_154_038,47.560094,7.595278,571.7224014314355,28.75,0.2037037037037037,11
HGB_1_154_039,47.560064,7.595312,572.2520569977355,28.75,0.3253968253968254,19
HGB_1_154_040,47.560035,7.595347,572.8118419840828,28.75,0.41025641025641024,15
HGB_1_154_041,47.559967,7.595437,574.9244514442307,827.0,0.0,5
HGB_1_154_042,47.560056,7.595886,609.2772968551666,20.0,0.5,1
HGB_1_154_043,47.559958,7.595728,593.6067796903556,431.0,0.1875,9
HGB_1_154_044,47.55986,7.59557,577.9625292766193,435.0,0.20654761904761904,8
HGB_1_154_045,47.559816,7.595632,579.8316021172755,9.0,0.0,5
HGB_1_154_046,47.559772,7.595685,581.137422274656,3500.0,0.0,2
HGB_1_154_047,47.559756,7.595708,581.8672948442287,4.0,0.07291666666666666,8
HGB_1_154_048,47.55974,7.59573,582.6065742858586,50.0,0.0,25
HGB_1_154_049,47.559712,7.595769,583.8467997991822,12.75,0.1846153846153846,34
HGB_1_154_050,47.559676,7.59582,585.5903142500123,1203.0,0.03571428571428571,11
HGB_1_154_051,47.559641,7.595848,585.8512872698668,940.5,0.0,5
HGB_1_154_052,47.559607,7.595876,586.1453591189069,23.0,0.0,34
HGB_1_154_053,47.559624,7.595862,585.9941888239578,394.0,0.0,2
HGB_1_154_054,47.559649,7.595834,585.2667005448727,168.0,0.0,3
HGB_1_154_055,47.559602,7.595908,588.1151425733913,796.0,0.0,4
HGB_1_154_056,47.559598,7.595939,590.0883232644082,28.5,0.0,35
HGB_1_154_057,47.561413,7.593341,560.7984562482281,34.25,0.21343537414965988,29
HGB_1_154_058,47.561415,7.593266,557.5609376810935,30.0,0.39285714285714285,17
HGB_1_154_059,47.56134,7.59344,559.074726380927,120.0,0.048484848484848485,24
HGB_1_154_060,47.561286,7.593493,556.8851327050206,15.0,0.06369047619047619,33
HGB_1_154_061,47.561241,7.593551,555.8598047471371,100.0,0.031746031746031744,44
HGB_1_154_062,47.561188,7.593603,553.95019807772,65.0,0.0,18
HGB_1_154_064,47.56106,7.593738,549.9939738278672,6.291666666666667,0.033333333333333326,47
HGB_1_154_065,47.560819,7.593962,542.594633597677,990.0,0.14964285714285713,32
HGB_1_154_067,47.560819,7.593962,542.594633597677,,,1
HGB_1_154_068,47.560689,7.594136,542.3004171612488,28.0,0.0,7
HGB_1_154_069,47.56065,7.594204,543.2384106150266,14.0,0.0,20
HGB_1_154_070,47.560611,7.594273,544.258235580196,1009.25,0.05555555555555555,6
HGB_1_154_071,47.560527,7.594392,545.1116473972635,120.0,0.0,21
HGB_1_154_072,47.560475,7.594467,545.8827564231777,610.0,0.0,8
HGB_1_154_073,47.560456,7.594496,546.3224926279828,23.0,0.33248001998001997,29
HGB_1_154_074,47.560438,7.594526,546.7783559298651,934.5,0.0,10
HGB_1_154_076,47.560391,7.594588,547.3786850497564,103.0,0.0,1
HGB_1_154_077,47.560352,7.59464,547.9014996842313,68.5,0.25,4
HGB_1_154_078,47.560329,7.594671,548.2266977420229,24.5,0.2472972972972973,47
HGB_1_154_079,47.560282,7.594732,548.9431520528727,356.0,0.3333333333333333,1
HGB_1_154_080,47.560225,7.594815,550.3900001823357,565.0,0.0,4
HGB_1_154_081,47.560105,7.594977,553.1998347379674,,,8
HGB_1_154_083,47.559908,7.595216,557.2378829051987,6048.0,0.0,3
HGB_1_154_084,47.559845,7.595309,559.8903989971702,90.0,0.0,22
HGB_1_154_085,47.559777,7.5954,562.3408867925348,1050.0,0.0,17
HGB_1_154_086,47.559733,7.595443,562.9658403388838,40.0,0.017857142857142856,40
HGB_1_154_087,47.559712,7.595473,563.923606287101,34.0,0.13333333333333333,10
HGB_1_154_088,47.559691,7.595504,564.8989022950319,66.0,0.33594276094276093,23
HGB_1_154_089,47.559672,7.595556,567.4871711099626,148.125,0.2602092352092352,27
HGB_1_154_090,47.559654,7.595575,567.895864552637,47.0,0.0,10
HGB_1_154_091,47.559635,7.595595,568.3157858790215,293.0,0.0,9
HGB_1_154_092,47.559608,7.59564,570.0847140882789,1639.0,0.0,7
HGB_1_154_093,47.559572,7.595713,573.3951215462126,8.25,0.0,9
HGB_1_154_094,47.559541,7.595748,574.362387403106,24.0,0.0,1
HGB_1_154_095,47.559541,7.595748,574.362387403106,35.0,0.0,1
HGB_1_154_096,47.559541,7.595748,574.362387403106,112.0,0.0,16
HGB_1_154_097,47.559581,7.595695,572.5618828565455,40.0,0.0,32
HGB_1_155_007,47.562251,7.592592,608.7081543743425,,,2
HGB_1_155_008,47.561658,7.593442,587.0877616195112,,,1
